ID,sentence,label,language
1,কর্মীদের ভাল আচরণ এবং খাবারের পাশাপাশি পানীয় (ককটেল এবং মকটেল) সহ একটি অনন্য জায়গা খুবই ভাল। প্রায়ই একটি সরাসরি সঙ্গীত পরিবেশনের সাথে এমন পরিবেশ তৈরী করে যে একজন দিন এবং সন্ধ্যা উভয় সময়েই জায়গাটি উপভোগ করতে পারে।,Positive,bn
2,ગોદરેજ સેન્ટ્રલ એસીમાં તેના કન્ડેન્સર પર 2 વર્ષની વોરંટી આપે છે જે બજારમાં મહત્તમ છે અને તેથી વિશ્વાસ પરિબળ વધે છે.,Positive,gu
3,"கதைக்களம் பிடித்திருந்தது, அனைத்து நடிகர்களும் அவர்களுடைய நடிப்பும் சிறப்பாக இருந்தன. ஜாலியாக இருந்தது அதே நேரத்தில் உணர்ச்சிகளின் கலவையாக இருந்தது.",Positive,ta
4,ਵੌਇਸ-ਓਵਰ ਬਹੁਤ ਵਧੀਆ ਸੀ ਅਤੇ ਕਹਾਣੀ ਦੀ ਸੀਮਾ ਵਿੱਚ ਇਸਦਾ ਪਾਲਣ ਕਰਨਾ ਆਸਾਨ ਅਤੇ ਦਿਲਚਸਪ ਸੀ।,Positive,pa
5,जुथानि थाखाय जायगा गैया। गुबुन मुवा सोग्रा जायगायावनो सोफानांगौ। फेन्दा फिथाइ एबा जान्जिखौ दोननो गान्दु गैया।,Negative,bd
6,ইয়াত বহুতো জনপ্ৰিয় কিতাপ বিনামূলীয়াকৈ উপলব্ধ। এক বৃহৎ অডিঅ' সক্ষম সমল আছে যি 5 টা ভাৰতীয় ভাষাত উপলব্ধ।,Positive,as
7,సింఫనీ పర్సనల్ ఎయిర్ కూలర్ ఇప్పుడు హ్యుమిడిటీ కంట్రోలర్‌తో ఫిట్ చేయబడింది. ఇది బాహ్య వాతావరణాన్ని బట్టి హ్యుమిడిటీ స్థాయిని మారుస్తుంటుంది.,Positive,te
8,"কোষকে উজ্জীবন করার রোল-অনের এই দাবিটি পুরো হওয়ার জন্য অপেক্ষা করছি কারণ এটি ব্যবহারের পরে আমি কোনও উল্লেখযোগ্য পার্থক্য লক্ষ্য করিনি। যদিও এটি তাজা এবং বেশ কিছুক্ষণ স্থায়ী হয়, তবে এটি ব্যবহার করার পরে আমার আন্ডার আর্ম স্কিন টোনে কোনো পরিবর্তন হয়ই নি।",Negative,bn
9,लेन्सा मैला हाबहोनो हायै रोखोमै आरो दागो होबथाहानाय महरै बानायजानाय नङा।,Negative,bd
10,"స్టాక్ కాంపోనెంట్‌లు అత్యుత్తమమైనవి కావు, అదేవిధంగా అవి హెవీ సైడ్‌లో ఉంటాయి.",Negative,te
11,ছাউণ্ডবাৰ কেৱল মানক আৰু গেমিং মোডৰ সৈতে আহে। শাস্ত্ৰীয় বা জাজ সংগীতৰ দৰে অধিক সংবেদনশীলবোৰৰ বাবে এইটো পৰামৰ্শযোগ্য নহয়।,Negative,as
12,କ୍ଷୁଦ୍ର ସ୍ଥାନଗୁଡ଼ିକ ପାଇଁ ଏବଂ ସ୍ୱଳ୍ପ ଇଣ୍ଟରିୟର ପାଇଁ ଉପଯୁକ୍ତ l ଏହା ଛୋଟ ଏବଂ ନେବା ଆଣିବା କରିବା ଯୋଗ୍ୟ ଏବଂ ଯେଉଁଠାରେ ମୁଁ  ଆରାମଦାୟକ ଅନୁଭବ କରେ ସେହି ସ୍ଥାନକୁ ମୁଁ ଏହାକୁ ସ୍ଥାନାନ୍ତର କରିପାରିବି |,Positive,or
13,"""ഈ വില ശ്രേണിയിൽ കസേരകൾക്ക് ക്രമീകരിക്കാവുന്ന ഹെഡ്‌റെസ്റ്റുകൾ ഉള്ള ചുരുക്കം ബ്രാൻഡുകളിൽ ഒരെണ്ണം. കുറഞ്ഞ വിലയിൽ വരുന്നു, എന്നാൽ പ്രീമിയം രൂപവും ഭാവവും ഉണ്ട്. """,Positive,ml
14,"""चेयर कार में, अधिक चार्जिंग पॉइंट की आवश्यकता है क्योंकि इन दिनों हर कोई सेलफोन ले जाता है और हर डिब्बे में सिर्फ 2 चार्जिंग प्वाइंट हैं। """,Negative,hi
